Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
1.1.3.1,Sintética,ADIANTAMENTOS CONCEDIDOS,"3.918,01",D,"4.045,98","2.136,00","5.827,99",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.1.1,Sintética,ADIANTAMENTOS CONCEDIDOS - CONSOLIDAÇÃO,"3.918,01",D,"4.045,98","2.136,00","5.827,99",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.1.1.01,Sintética,ADIANTAMENTOS CONCEDIDOS A PESSOAL,"1.918,01",D,0,0,"1.918,01",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.1.1.01.02,Analitica,13 SALÁRIO - ADIANTAMENTO,"1.918,01",D,0,0,"1.918,01",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,6-Credor - 05054584978,"456,71",D,0,0,"456,71",D,,
,,6-Credor - 18093035915,"1.461,30",D,0,0,"1.461,30",D,,
1.1.3.1.1.02,Analitica,SUPRIMENTO DE FUNDOS,"2.000,00",D,"4.045,98","2.136,00","3.909,98",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,6-Credor - 00792921941,0,D,"1.300,00",0,"1.300,00",D,,
,,6-Credor - 03048916903,0,D,350,200,150,D,,
,,6-Credor - 03460844906,0,D,300,200,100,D,,
,,6-Credor - 05492158910,500,D,"1.501,00","1.501,00",500,D,,
,,6-Credor - 06545740903,0,D,"259,98",0,"259,98",D,,
,,6-Credor - 08551846981,0,D,300,200,100,D,,
,,6-Credor - 28946847972,0,D,35,35,0,D,,
,,6-Credor - 93279647991,"1.500,00",D,0,0,"1.500,00",D,,
1.1.3.8,Sintética,OUTROS CRÉDITOS A RECEBER E VALORES A CURTO PRAZO,"4.848,74",D,"65.839,83","65.839,83","4.848,74",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.8.1,Sintética,OUTROS CRÉDITOS A RECEBER E VALORES A CURTO PRAZO - CONSOLIDAÇÃO,"4.848,74",D,"65.839,83","65.839,83","4.848,74",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.8.1.08,Sintética,CRÉDITOS A RECEBER POR REEMBOLSO DE SALÁRIO FAMÍLIA PAGO,"358,92",D,"2.884,86","2.884,86","358,92",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.8.1.08.00.01,Sintética,CRÉDITOS A RECEBER POR REEMBOLSO DE SALÁRIO FAMÍLIA PAGO,"358,92",D,"2.884,86","2.884,86","358,92",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
